run number,run class,title,start date/time,stop date/time,config name,Gas,Pressure,Cathode,Micromegas,E-trans,MTHGEM,Ring,smartZAP,Field,Mesh Threshold,Comments
61,TEST,Alphas in AT-TPC with 530 Torr H2,2021-07-09 21:44:02,2021-07-09 21:45:32.940637,e20009,H2,530.0,50.0,420.0,50.0,750.0,300.0,0.0,Missing,Missing,Changed voltage supplies to external for Ring and MTHGEM1 (to be able to go to 5 kV)
62,TEST,Alphas in AT-TPC with 740 Torr H2,2021-07-09 22:53:13,2021-07-09 22:55:03.375411,e20009,H2,740.0,70.0,500.0,50.0,850.0,400.0,0.0,Missing,Missing,Changed voltage supplies to external for Ring and MTHGEM1 (to be able to go to 5 kV)
63,,,2021-07-10 21:18:24.203257,2021-07-10 21:19:08.804106,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
64,BEAM,Ne20 beam testing,2021-07-11 15:10:10,2021-07-11 15:10:40,e20009,H2,600.0,60.0,400.0,50.0,800.0,100.0,0.0,,Missing,First Ne20 beam in AT-TPC
65,TEST,Alphas in AT-TPC with 600 Torr H2,2021-07-11 16:23:31,2021-07-11 16:25:26.715133,e20009,H2,600.0,60.0,400.0,50.0,800.0,100.0,0.0,2.99,Missing,
66,,,2021-07-11 21:02:18.972062,2021-07-11 21:05:12.743816,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
67,BEAM,Be10 beam at low rate,2021-07-12 03:13:19,2021-07-12 03:13:54,e20009,D2,600.0,60.0,440.0,50.0,800.0,100.0,0.0,2.991,Missing,First Be10 in AT-TPC! Coincidence Mesh+IC trigger. Delay in Mutant 20 us.
68,BEAM,Be10 beam at low rate,2021-07-12 03:20:40,2021-07-12 03:21:19,e20009,D2,600.0,60.0,440.0,50.0,800.0,100.0,0.0,2.991,Missing,First Be10 in AT-TPC! Coincidence Mesh+IC trigger. Delay in Mutant 5 us.
69,BEAM,Be10 beam at low rate,2021-07-12 03:24:00,2021-07-12 03:25:20.121434,e20009,D2,600.0,60.0,440.0,50.0,800.0,100.0,0.0,2.991,Missing,First Be10 in AT-TPC! Coincidence Mesh+IC trigger. Delay in Mutant 40 us.
70,BEAM,Be10 beam at low rate,2021-07-12 03:53:35,2021-07-12 03:55:25,e20009,D2,600.0,60.0,440.0,50.0,800.0,100.0,0.0,2.991,Missing,First Be10 in AT-TPC! Coincidence Mesh+IC trigger. Fixed IC patch to LEMO channel 4.
71,BEAM,Be10 beam at low rate,2021-07-12 16:59:30,2021-07-12 17:00:09,e20009,D2,600.0,60.0,460.0,50.0,820.0,100.0,0.0,2.991,Missing,After fixing IC position and removing vertical steering
72,BEAM,Be10 beam at low rate,2021-07-12 20:01:43,2021-07-12 20:02:39,e20009,D2,600.0,60.0,460.0,50.0,820.0,100.0,100.0,2.991,Missing,SmartZAPs on checking why still counting too much beam
73,,,2021-07-12 20:54:38.732754,2021-07-12 20:55:28.957569,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
74,,,2021-07-12 21:43:14.519325,2021-07-12 21:44:34.264625,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
75,,,2021-07-12 21:49:44.627594,2021-07-12 21:49:59.957081,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
76,,,2021-07-12 22:24:00.289070,2021-07-12 22:24:20.551598,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
77,,,2021-07-12 22:35:50.722295,2021-07-12 22:38:04.834705,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
78,,,2021-07-12 23:03:46.119986,2021-07-12 23:04:42.100269,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
79,,,2021-07-12 23:53:51.543732,2021-07-12 23:54:36.953591,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
80,,,2021-07-13 00:01:36.312663,2021-07-13 00:02:41.939803,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
81,,,2021-07-13 01:04:03.065518,2021-07-13 01:05:02.456337,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
82,,,2021-07-13 01:26:42.516968,2021-07-13 01:27:48.081638,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
83,PULS,Multiplicity baselines,2021-07-13 02:13:18,2021-07-13 02:14:17,e20009,,,,,,,,,,Missing,
84,PULS,Multiplicity baselines,2021-07-13 02:30:53,2021-07-13 02:31:18,e20009,,,,,,,,,,Missing,
85,,,2021-07-13 02:58:53.879170,2021-07-13 02:59:18.726827,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
